"priority","cluster","slug","url","total_clicks","total_impressions","sources","has_legacy_content","legacy_datasets","legacy_titles","recommended_action"
"P1","Recursos y plantillas","temas-de-salud-de-enfermeria","https://serenfermera.com/temas-de-salud-de-enfermeria/","29","284","PageTrafficReport","False","","","Crear desde cero"
"P1","Conceptos y fundamentos de enfermeria","actividades-de-enfermeria-en-centro-de-salud","https://serenfermera.com/actividades-de-enfermeria-en-centro-de-salud","28","839","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Cuidados clinicos y procedimientos","plan-de-cuidados-enfermeria-duelo","https://serenfermera.com/plan-de-cuidados-enfermeria-duelo","28","655","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Conceptos y fundamentos de enfermeria","9-divertidos-y-educativos-juegos-de-enfermeria","https://serenfermera.com/9-divertidos-y-educativos-juegos-de-enfermeria","27","259","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Cuidados clinicos y procedimientos","como-hacer-una-hoja-de-cuidados-de-enfermeria","https://serenfermera.com/como-hacer-una-hoja-de-cuidados-de-enfermeria","27","2431","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Etica, liderazgo y habilidades","cuidado-humanizado-en-enfermeria","https://serenfermera.com/cuidado-humanizado-en-enfermeria/","27","367","PageTrafficReport","False","","","Crear desde cero"
"P1","Carrera y desarrollo profesional","auxiliar-de-enfermeria-colombia","https://serenfermera.com/auxiliar-de-enfermeria-colombia","26","450","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Cuidados clinicos y procedimientos","lavado-gastrico-tecnica-enfermeria","https://serenfermera.com/lavado-gastrico-tecnica-enfermeria","25","1297","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Recursos y plantillas","practica-basada-en-evidencia-en-ejemplos-de-enfermeria","https://serenfermera.com/practica-basada-en-evidencia-en-ejemplos-de-enfermeria","24","502","SiteExplorerUrls","True","nursingprocess-blog","Comprender la práctica basada en la evidencia en enfermería + 10 ejemplos","Reescribir desde legacy util"
"P1","Cuidados clinicos y procedimientos","10-cuidados-de-enfermeria-en-diabetes","https://serenfermera.com/10-cuidados-de-enfermeria-en-diabetes","24","685","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Cuidados clinicos y procedimientos","angioplastia-cuidados-de-enfermeria","https://serenfermera.com/angioplastia-cuidados-de-enfermeria","22","333","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-en-ninos-con-tdah","https://serenfermera.com/cuidados-de-enfermeria-en-ninos-con-tdah","22","225","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-en-deterioro-de-la-movilidad-fisica","https://serenfermera.com/cuidados-de-enfermeria-en-deterioro-de-la-movilidad-fisica","22","706","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Conceptos y fundamentos de enfermeria","proceso-salud-enfermedad-en-enfermeria","https://serenfermera.com/proceso-salud-enfermedad-en-enfermeria/","21","539","PageTrafficReport","False","","","Crear desde cero"
"P1","Etica, liderazgo y habilidades","veracidad-en-la-enfermeria","https://serenfermera.com/veracidad-en-la-enfermeria","21","288","SiteExplorerUrls","True","nursingprocess-blog","Veracidad en enfermería: qué es, por qué es importante y ejemplos","Reescribir desde legacy util"
"P1","Cuidados clinicos y procedimientos","evaluacion-del-plan-de-cuidados-de-enfermeria","https://serenfermera.com/evaluacion-del-plan-de-cuidados-de-enfermeria","21","372","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Carrera y desarrollo profesional","que-es-gestion-del-cuidado-de-enfermeria","https://serenfermera.com/que-es-gestion-del-cuidado-de-enfermeria/","21","290","PageTrafficReport","False","","","Crear desde cero"
"P1","Cuidados clinicos y procedimientos","ketamina-cuidados-de-enfermeria","https://serenfermera.com/ketamina-cuidados-de-enfermeria","20","170","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-en-sonda-vesical","https://serenfermera.com/cuidados-de-enfermeria-en-sonda-vesical","20","956","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-hiperglucemia","https://serenfermera.com/cuidados-de-enfermeria-hiperglucemia","20","342","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-post-parto-cesarea","https://serenfermera.com/cuidados-de-enfermeria-post-parto-cesarea","20","458","SiteExplorerUrls","False","","","Crear desde cero"
"P1","Carrera y desarrollo profesional","supervisora-enfermeria-gestion-de-cuidados","https://serenfermera.com/supervisora-enfermeria-gestion-de-cuidados","20","793","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Recursos y plantillas","caso-practico-fuden-cuidados-enfermeria-en-urgencias-modulo-i-respuestas","https://serenfermera.com/caso-practico-fuden-cuidados-enfermeria-en-urgencias-modulo-i-respuestas","19","339","PageTrafficReport|SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-toma-de-signos-vitales","https://serenfermera.com/cuidados-de-enfermeria-toma-de-signos-vitales/","19","858","PageTrafficReport","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","persistencia-del-conducto-arterioso-cuidados-de-enfermeria","https://serenfermera.com/persistencia-del-conducto-arterioso-cuidados-de-enfermeria","19","136","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-en-pacientes-inconscientes","https://serenfermera.com/cuidados-de-enfermeria-en-pacientes-inconscientes","19","861","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","cuales-son-las-manipulaciones-basicas-utilizadas-en-el-masaje","https://serenfermera.com/cuales-son-las-manipulaciones-basicas-utilizadas-en-el-masaje","19","232","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-en-el-puerperio","https://serenfermera.com/cuidados-de-enfermeria-en-el-puerperio/","18","246","PageTrafficReport","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","procedimientos-y-tecnicas-basicas-de-enfermeria","https://serenfermera.com/procedimientos-y-tecnicas-basicas-de-enfermeria/","18","469","PageTrafficReport","False","","","Crear desde cero"
"P2","Carrera y desarrollo profesional","ciclo-auxiliar-de-enfermeria-plan-de-estuidos","https://serenfermera.com/ciclo-auxiliar-de-enfermeria-plan-de-estuidos","18","236","PageTrafficReport|SiteExplorerUrls","False","","","Crear desde cero"
"P2","Conceptos y fundamentos de enfermeria","para-que-se-utiliza-rhus-tox-en-homeopatia","https://serenfermera.com/para-que-se-utiliza-rhus-tox-en-homeopatia","18","310","SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","alzheimer-cuidados-de-enfermeria","https://serenfermera.com/alzheimer-cuidados-de-enfermeria","17","414","PageTrafficReport|SiteExplorerUrls","False","","","Crear desde cero"
"P2","Cuidados clinicos y procedimientos","cuidados-de-enfermeria-en-dialisis-peritoneal-y-hemodialisis","https://serenfermera.com/cuidados-de-enfermeria-en-dialisis-peritoneal-y-hemodialisis","17","320","SiteExplorerUrls","False","","","Crear desde cero"
